campaign,week,spend,impressions,clicks,conversions,avg_cpc
Brand Search,1,1838.53,57091,3560,207,0.516
Brand Search,2,1851.59,61080,3615,194,0.496
Brand Search,3,1774.6,57295,2935,201,0.497
Brand Search,4,1760.62,55431,3334,211,0.558
Brand Search,5,1899.3,64075,3435,221,0.554
Brand Search,6,1907.23,57475,3364,206,0.536
Brand Search,7,1910.13,61881,3694,233,0.536
Brand Search,8,1906.54,57127,3495,225,0.57
Brand Search,9,1774.75,63158,3785,223,0.537
Brand Search,10,1834.27,62614,3890,239,0.565
Brand Search,11,1872.55,54495,3459,218,0.496
Brand Search,12,1863.71,58879,3582,187,0.512
Brand Search,13,1791.6,53935,3774,197,0.539
Brand Search,14,1793.74,61450,3666,214,0.472
Brand Search,15,1805.78,58549,3580,192,0.578
Brand Search,16,1697.56,54443,3547,202,0.583
Brand Search,17,1796.64,54248,3266,183,0.496
Brand Search,18,1819.85,57387,3585,187,0.575
Brand Search,19,1747.69,59917,3227,187,0.537
Brand Search,20,1893.69,57596,3288,182,0.493
Brand Search,21,1850.04,59795,3365,186,0.553
Brand Search,22,1717.19,54833,3518,167,0.54
Brand Search,23,1711.14,55339,3268,200,0.548
Brand Search,24,1698.09,58926,3425,210,0.561
Brand Search,25,1713.63,54395,3127,165,0.526
Brand Search,26,1611.9,48532,3165,178,0.503
Brand Search,27,1596.55,53044,3189,207,0.53
Brand Search,28,1739.76,56149,3346,152,0.563
Brand Search,29,1698.08,53748,3209,194,0.538
Brand Search,30,1657.33,47803,3130,177,0.559
Brand Search,31,1762.6,56255,3171,192,0.53
Brand Search,32,1755.08,59503,3474,190,0.466
Brand Search,33,1915.25,58083,3405,207,0.578
Brand Search,34,1884.48,59579,3223,240,0.554
Brand Search,35,1981.38,59842,3757,220,0.546
Brand Search,36,1901.04,55661,3805,182,0.524
Brand Search,37,1831.05,54975,3587,204,0.518
Brand Search,38,1896.22,56968,3771,215,0.517
Brand Search,39,1723.53,54874,3730,209,0.522
Brand Search,40,2003.38,55270,3399,203,0.546
Brand Search,41,1840.11,57564,3201,225,0.551
Brand Search,42,1863.88,60181,3284,205,0.567
Brand Search,43,1919.48,66906,3409,225,0.525
Brand Search,44,2022.34,62106,3581,207,0.611
Brand Search,45,2039.67,57797,3685,243,0.517
Brand Search,46,2229.07,69744,3925,229,0.503
Brand Search,47,2120.25,63482,4383,277,0.497
Brand Search,48,2141.29,64366,3968,190,0.5
